work_recommendation_dtl_id,constituency,work_category,sanction_amount,recommendation_date,sanction_date,rec_to_sanc_days,tenure_start_date,days_since_tenure_start,anomaly_score
150048.0,THOOTHUKKUDI,Normal/Others,3999840.0,2024-11-02,2026-02-23,478,2024-06-04,151,-0.21166730964120584
144120.0,LATUR(SC),Normal/Others,1991059.0,2024-09-27,2026-05-22,602,2024-06-04,115,-0.21133168746925868
152382.0,ASANSOL,Normal/Others,6000000.0,2024-11-14,2026-02-06,449,2024-06-04,163,-0.21097330719618268
152381.0,ASANSOL,Normal/Others,6000000.0,2024-11-14,2026-02-06,449,2024-06-04,163,-0.21097330719618268
140337.0,NILGIRIS(SC),Normal/Others,1695000.0,2024-09-11,2026-07-15,672,2024-06-04,99,-0.21086001034015744
143623.0,PATHANAMTHITTA,Normal/Others,2350000.0,2024-09-25,2026-03-07,528,2024-06-04,113,-0.21066067899273055
146584.0,MUMBAI SOUTH,Normal/Others,2000000.0,2024-10-09,2026-05-18,586,2024-06-04,127,-0.2104982218422542
146582.0,MUMBAI SOUTH,Normal/Others,2000000.0,2024-10-09,2026-05-18,586,2024-06-04,127,-0.2104982218422542
148155.0,MANDI,Bar and Associations,50000.0,2024-10-18,2026-07-21,641,2024-06-04,136,-0.20954854794900113
155578.0,KANNAUJ,Repair and Renovation,2225000.0,2024-11-28,2026-05-25,543,2024-06-04,177,-0.20877247178013603
145431.0,MUMBAI NORTH WEST,Normal/Others,4000000.0,2024-10-08,2026-01-20,469,2024-06-04,126,-0.20793145586567396
143602.0,MUMBAI NORTH,Normal/Others,2000000.0,2024-09-25,2026-03-25,546,2024-06-04,113,-0.20754150939020355
143607.0,MUMBAI NORTH,Normal/Others,2000000.0,2024-09-25,2026-03-25,546,2024-06-04,113,-0.20754150939020355
143601.0,MUMBAI NORTH,Normal/Others,2000000.0,2024-09-25,2026-03-25,546,2024-06-04,113,-0.20754150939020355
143609.0,MUMBAI NORTH,Normal/Others,2000000.0,2024-09-25,2026-03-25,546,2024-06-04,113,-0.20754150939020355
136038.0,KANNIYAKUMARI,Normal/Others,1000000.0,2024-08-17,2026-03-03,563,2024-06-04,74,-0.20659234742411092
141110.0,BARASAT,Normal/Others,11000000.0,2024-09-15,2025-11-25,436,2024-06-04,103,-0.20631421352511925
140339.0,NILGIRIS(SC),Normal/Others,1399943.0,2024-09-11,2026-07-15,672,2024-06-04,99,-0.20629388669647986
133610.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-06-30,713,2024-06-04,43,-0.20599924920663704
145425.0,MUMBAI NORTH WEST,Normal/Others,2100000.0,2024-10-08,2026-03-25,533,2024-06-04,126,-0.2056840495776726
146422.0,CHENNAI CENTRAL,Normal/Others,10000000.0,2024-10-09,2025-12-06,423,2024-06-04,127,-0.20508739898104444
140334.0,NILGIRIS(SC),Normal/Others,1400000.0,2024-09-11,2026-05-25,621,2024-06-04,99,-0.20401196338948901
140341.0,NILGIRIS(SC),Normal/Others,1400000.0,2024-09-11,2026-05-15,611,2024-06-04,99,-0.2032978385359966
149788.0,Puducherry,Normal/Others,1600000.0,2024-10-29,2026-05-21,569,2024-06-04,147,-0.20266607445210194
147281.0,ALAPPUZHA,Normal/Others,2884733.0,2024-10-22,2026-02-11,477,2024-06-04,140,-0.20258935352544605
143603.0,MUMBAI NORTH,Normal/Others,2500000.0,2024-09-25,2026-01-30,492,2024-06-04,113,-0.20247070166523218
145414.0,MUMBAI NORTH WEST,Normal/Others,2000000.0,2024-10-08,2026-03-25,533,2024-06-04,126,-0.20185543258069794
145430.0,MUMBAI NORTH WEST,Normal/Others,2000000.0,2024-10-08,2026-03-25,533,2024-06-04,126,-0.20185543258069794
145427.0,MUMBAI NORTH WEST,Normal/Others,3000000.0,2024-10-08,2026-01-20,469,2024-06-04,126,-0.20145231056976542
135898.0,ERNAKULAM,Repair and Renovation,2500000.0,2024-08-16,2025-11-13,454,2024-06-04,73,-0.20145116385595374
134591.0,PATHANAMTHITTA,Normal/Others,96734.0,2024-09-20,2026-07-09,657,2024-06-04,108,-0.20129459796544547
149155.0,GURGAON,Trust and Society,1499787.0,2024-10-23,2026-05-21,575,2024-06-04,141,-0.2012788876071555
146585.0,MUMBAI SOUTH,Normal/Others,1500000.0,2024-10-09,2026-05-18,586,2024-06-04,127,-0.20027513790378326
148927.0,KUSHI NAGAR,Normal/Others,1350000.0,2024-10-21,2026-05-26,582,2024-06-04,139,-0.20009370099502288
153167.0,HOSHANGABAD,Normal/Others,49300.0,2024-12-19,2026-06-19,547,2024-06-04,198,-0.2000112195469811
152595.0,HOSHANGABAD,Normal/Others,49300.0,2024-12-19,2026-06-19,547,2024-06-04,198,-0.2000112195469811
135516.0,DARJEELING,Normal/Others,500000.0,2024-08-16,2026-07-07,690,2024-06-04,73,-0.19999076596028798
135589.0,DARJEELING,Normal/Others,500000.0,2024-08-16,2026-08-18,732,2024-06-04,73,-0.19999076596028798
135590.0,DARJEELING,Normal/Others,500000.0,2024-08-16,2026-08-18,732,2024-06-04,73,-0.19999076596028798
135597.0,DARJEELING,Normal/Others,500000.0,2024-08-16,2026-07-07,690,2024-06-04,73,-0.19999076596028798
135696.0,DARJEELING,Normal/Others,500000.0,2024-08-16,2026-07-27,710,2024-06-04,73,-0.19999076596028798
171038.0,CHIDAMBARAM(SC),Normal/Others,4500000.0,2025-01-31,2026-05-15,469,2024-06-04,241,-0.1986942217808637
143600.0,MUMBAI NORTH,Normal/Others,1500000.0,2024-09-25,2026-03-25,546,2024-06-04,113,-0.19852768573928659
143612.0,MUMBAI NORTH,Normal/Others,1500000.0,2024-09-25,2026-03-25,546,2024-06-04,113,-0.19852768573928659
135231.0,ROHTAK,Normal/Others,500000.0,2024-08-09,2026-03-16,584,2024-06-04,66,-0.19846594333695922
156755.0,SRIPERUMBUDUR,Normal/Others,1700000.0,2024-12-03,2026-06-22,566,2024-06-04,182,-0.19818419444566515
133589.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133590.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133603.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133583.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133582.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133581.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133599.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133602.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133594.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
133591.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19783044276605843
158360.0,BANGALORE NORTH,Normal/Others,2000000.0,2024-12-12,2026-07-21,586,2024-06-04,191,-0.1976019019508478
133596.0,DAHOD(ST),Normal/Others,300000.0,2024-07-17,2026-01-12,544,2024-06-04,43,-0.19747864201503662
147515.0,KUSHI NAGAR,Normal/Others,1347476.0,2024-10-15,2026-04-18,550,2024-06-04,133,-0.19702835272589247
145119.0,MUMBAI NORTH WEST,Normal/Others,1500000.0,2024-10-02,2026-03-25,539,2024-06-04,120,-0.19687549279580785
151265.0,POLLACHI,Normal/Others,1229625.0,2024-11-07,2026-07-15,615,2024-06-04,156,-0.19651957307354662
138567.0,TIRUPPUR,Normal/Others,1000000.0,2024-09-03,2026-06-23,658,2024-06-04,91,-0.19610269359558585
143825.0,NORTH GOA,Normal/Others,2500000.0,2024-09-26,2026-01-07,468,2024-06-04,114,-0.19474188487094457
140437.0,BASIRHAT,Normal/Others,1000000.0,2024-09-12,2026-06-23,649,2024-06-04,100,-0.19360061780894566
133593.0,DAHOD(ST),Normal/Others,350000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19331715059149468
190860.0,KANCHEEPURAM(SC),Normal/Others,4000000.0,2025-04-12,2026-08-19,494,2024-06-04,312,-0.1927725127050557
144117.0,LATUR(SC),Normal/Others,1000000.0,2024-09-27,2026-08-07,679,2024-06-04,115,-0.19258653546091486
133609.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19239449271400388
133564.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19239449271400388
133611.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19239449271400388
133557.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19239449271400388
133613.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19239449271400388
133604.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19239449271400388
133605.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19239449271400388
133614.0,DAHOD(ST),Normal/Others,250000.0,2024-07-17,2026-01-02,534,2024-06-04,43,-0.19239449271400388
162039.0,PALAKKAD,Normal/Others,2000000.0,2024-12-29,2026-06-27,545,2024-06-04,208,-0.19229056247102028
145234.0,OSMANABAD,Normal/Others,1000000.0,2024-10-03,2026-08-03,669,2024-06-04,121,-0.19220139609936038
143608.0,MUMBAI NORTH,Normal/Others,2000000.0,2024-09-25,2026-01-30,492,2024-06-04,113,-0.19189189646760818
143606.0,MUMBAI NORTH,Normal/Others,2000000.0,2024-09-25,2026-01-30,492,2024-06-04,113,-0.19189189646760818
161945.0,PALAKKAD,Normal/Others,2000000.0,2024-12-29,2026-06-25,543,2024-06-04,208,-0.19158832739234544
156753.0,SRIPERUMBUDUR,Normal/Others,3708000.0,2024-12-03,2026-02-27,451,2024-06-04,182,-0.1912672002855712
147488.0,KUSHI NAGAR,Normal/Others,850000.0,2024-10-15,2026-08-19,673,2024-06-04,133,-0.19010581835506213
179976.0,SRIPERUMBUDUR,Normal/Others,5000000.0,2025-03-07,2026-05-27,446,2024-06-04,276,-0.18993659838009758
145737.0,OSMANABAD,Normal/Others,750000.0,2024-10-05,2026-08-03,667,2024-06-04,123,-0.18991649061488614
136934.0,JHANJHARPUR,Normal/Others,200000.0,2024-08-24,2026-04-22,606,2024-06-04,81,-0.18872364084219095
