project_id,estimated_cost,sanctioned_amount,funds_released,expenditure,current_progress_pct,project_duration_days,days_elapsed,is_anomaly_injected,anomaly_type_injected
MPLADS-2026-0106,18887000.0,18075000.0,5178789.1,5178789.1,39,478,173,0,none
MPLADS-2026-0342,23116000.0,22857000.0,18432652.3,18432652.3,88,408,354,0,none
MPLADS-2026-0108,22063000.0,21083000.0,5277872.16,5277872.16,33,619,196,0,none
MPLADS-2026-0286,14585000.0,13309000.0,9669685.81,8324978.95,68,414,329,0,none
MPLADS-2026-0099,14607000.0,14473000.0,7251190.71,5475024.03,43,474,204,0,none
MPLADS-2026-0013,8445000.0,8249000.0,3735551.06,3363264.84,42,147,59,0,none
MPLADS-2026-0221,4118000.0,3749000.0,890509.61,890509.61,43,352,102,0,none
MPLADS-2026-0028,16956000.0,15894000.0,10924602.39,10815112.71,77,619,463,0,none
MPLADS-2026-0380,18227000.0,17752000.0,6135472.06,4167013.42,26,561,173,0,none
MPLADS-2026-0284,11951000.0,11931000.0,9171200.29,6463180.14,63,222,157,0,none
MPLADS-2026-0356,13457000.0,13091000.0,1963650.0,654550.0,5,318,2,0,none
MPLADS-2026-0450,19729000.0,19361000.0,18382568.82,15718578.38,91,150,146,0,none
MPLADS-2026-0064,24538000.0,23400000.0,4386208.08,1248411.92,6,118,15,0,none
MPLADS-2026-0054,16109000.0,14920000.0,12202518.64,10863193.95,84,542,438,0,none
MPLADS-2026-0068,18126000.0,17658000.0,11153133.03,11153133.03,70,291,187,0,none
MPLADS-2026-0003,5857000.0,5567000.0,3157594.83,3157594.83,65,117,72,0,none
MPLADS-2026-0115,7906000.0,7675000.0,1930135.29,1930135.29,31,219,71,0,none
MPLADS-2026-0086,19360000.0,19256000.0,19256000.0,17489511.28,97,110,110,0,none
MPLADS-2026-0371,19162000.0,18634000.0,6215577.15,6211516.56,34,662,223,0,none
MPLADS-2026-0348,17167000.0,16681000.0,3722270.57,1070546.02,7,590,94,0,none
MPLADS-2026-0172,9461000.0,9263000.0,3082491.55,2381526.68,28,104,34,0,none
MPLADS-2026-0241,15642000.0,15012000.0,2251800.0,1718441.98,12,247,42,0,none
MPLADS-2026-0023,13715000.0,13411000.0,2011650.0,670550.0,5,633,1,0,none
MPLADS-2026-0372,8658000.0,8621000.0,2901934.02,2571588.18,30,105,28,0,none
MPLADS-2026-0043,5053000.0,4848000.0,2746171.83,2746171.83,62,330,207,0,none
MPLADS-2026-0497,16123000.0,14753000.0,9042252.24,7627280.87,0,409,117,1,zero_progress_high_release
MPLADS-2026-0297,21606000.0,20135000.0,8128027.02,8128027.02,52,443,205,0,none
MPLADS-2026-0061,9872000.0,8923000.0,3134035.35,3134035.35,37,571,228,0,none
MPLADS-2026-0416,1159000.0,1127000.0,887806.94,768934.73,70,304,225,0,none
MPLADS-2026-0394,13804000.0,13332000.0,6878137.3,6878137.3,70,273,162,0,none
MPLADS-2026-0452,13103000.0,12972000.0,3388406.97,3013199.43,24,187,35,0,none
MPLADS-2026-0037,20983000.0,20918000.0,5105297.15,5105297.15,27,332,86,0,none
MPLADS-2026-0336,16383000.0,15922000.0,14129174.63,12814475.79,90,104,95,0,none
MPLADS-2026-0027,10867000.0,10010000.0,3552990.54,2276896.73,25,642,206,0,none
MPLADS-2026-0145,14880000.0,14878000.0,3724422.11,3706345.26,27,591,153,0,none
MPLADS-2026-0247,21916000.0,20940000.0,20810262.1,18629986.43,91,195,183,0,none
MPLADS-2026-0418,6430000.0,6211000.0,4172526.08,4172526.08,75,523,387,0,none
MPLADS-2026-0157,13514000.0,12927000.0,3479676.67,3479676.67,43,274,88,0,none
MPLADS-2026-0471,18833000.0,18682000.0,18094622.92,15828945.37,96,720,704,0,none
MPLADS-2026-0287,13175000.0,12027000.0,10458720.07,10458720.07,91,654,602,0,none
MPLADS-2026-0349,1863000.0,1701000.0,1563157.17,1381931.58,87,515,468,0,none
MPLADS-2026-0281,16862000.0,16372000.0,13390868.18,12601436.9,86,653,556,0,none
MPLADS-2026-0009,1623000.0,1498000.0,244276.54,117439.91,8,386,41,0,none
MPLADS-2026-0146,8645000.0,8440000.0,4733599.32,4468454.49,54,476,234,0,none
MPLADS-2026-0198,20878000.0,18985000.0,10641498.47,9215260.48,52,188,96,0,none
MPLADS-2026-0101,17264000.0,16928000.0,2539200.0,846400.0,5,669,43,0,none
MPLADS-2026-0147,24529000.0,22662000.0,6932866.27,3512038.12,17,482,120,0,none
MPLADS-2026-0180,11395000.0,10525000.0,1974253.21,1974253.21,27,461,51,0,none
MPLADS-2026-0303,1738000.0,1650000.0,856358.86,856358.86,56,571,293,0,none
MPLADS-2026-0262,20431000.0,18746000.0,16685894.91,15847876.79,87,565,491,0,none
MPLADS-2026-0046,16956000.0,15769000.0,15769000.0,11948859.04,89,413,385,0,none
MPLADS-2026-0033,11061000.0,10423000.0,1563450.0,1039824.31,10,568,56,0,none
MPLADS-2026-0265,12098000.0,10933000.0,5388934.1,5286795.56,50,285,147,0,none
MPLADS-2026-0486,19107000.0,18196000.0,17467075.08,22815473.02,67,312,132,1,expenditure_exceeds_sanction
MPLADS-2026-0251,6001000.0,5592000.0,5491952.93,4766968.87,88,191,183,0,none
MPLADS-2026-0079,3473000.0,3172000.0,3172000.0,2890130.73,97,565,544,0,none
MPLADS-2026-0288,11099000.0,11000000.0,2442818.66,2442818.66,25,146,32,0,none
MPLADS-2026-0313,8038000.0,7957000.0,5204308.41,5204308.41,71,117,77,0,none
MPLADS-2026-0448,2631000.0,2596000.0,2589565.23,2036610.64,89,210,199,0,none
MPLADS-2026-0151,18200000.0,17126000.0,2568900.0,1704688.72,10,248,20,0,none
MPLADS-2026-0171,11974000.0,10867000.0,7718582.1,6118111.49,58,321,204,0,none
MPLADS-2026-0058,9165000.0,8762000.0,8762000.0,7421304.57,97,506,499,0,none
MPLADS-2026-0092,4952000.0,4586000.0,1142934.29,1142934.29,31,425,109,0,none
MPLADS-2026-0470,13497000.0,12159000.0,10361401.61,9007934.2,84,258,226,0,none
MPLADS-2026-0441,9907000.0,9473000.0,6939650.78,6309127.25,73,596,419,0,none
MPLADS-2026-0381,3929000.0,3751000.0,3751000.0,3540592.37,95,278,278,0,none
MPLADS-2026-0178,17564000.0,16756000.0,4888856.36,4888856.36,32,691,159,0,none
MPLADS-2026-0355,13713000.0,13238000.0,1985700.0,1724678.78,14,446,61,0,none
MPLADS-2026-0490,10668000.0,9648000.0,7924186.02,3184386.43,11,206,183,1,severe_progress_mismatch
MPLADS-2026-0344,24727000.0,23178000.0,18124584.79,15967613.15,71,652,483,0,none
MPLADS-2026-0308,5377000.0,5113000.0,766950.0,255650.0,5,602,42,0,none
MPLADS-2026-0167,1466000.0,1435000.0,836915.69,811223.65,65,124,75,0,none
MPLADS-2026-0125,2244000.0,2072000.0,1877300.38,1870280.11,93,360,321,0,none
MPLADS-2026-0338,13124000.0,11925000.0,3980017.91,2637671.04,24,187,48,0,none
MPLADS-2026-0319,24954000.0,23652000.0,9745027.2,7824597.94,36,475,161,0,none
MPLADS-2026-0488,19526000.0,18799000.0,15167335.98,5918676.14,12,454,415,1,severe_progress_mismatch
MPLADS-2026-0112,8012000.0,7396000.0,3724541.94,3724541.94,56,287,162,0,none
MPLADS-2026-0243,6319000.0,5968000.0,3348734.39,3330749.29,63,381,230,0,none
MPLADS-2026-0188,1784000.0,1738000.0,392113.96,288262.32,18,628,117,0,none
MPLADS-2026-0041,1933000.0,1882000.0,869561.5,869561.5,58,152,81,0,none
MPLADS-2026-0250,10665000.0,10021000.0,2386426.1,2386426.1,28,472,121,0,none
MPLADS-2026-0035,5160000.0,4875000.0,1583012.34,1583012.34,41,522,188,0,none
MPLADS-2026-0083,2398000.0,2227000.0,976639.35,976639.35,56,368,172,0,none
MPLADS-2026-0155,16027000.0,15823000.0,5464922.76,5145948.01,33,544,171,0,none
MPLADS-2026-0173,16984000.0,16428000.0,10183729.06,9117285.68,56,688,391,0,none
MPLADS-2026-0307,2869000.0,2689000.0,1948702.2,1890820.6,73,437,286,0,none
MPLADS-2026-0370,7077000.0,6846000.0,1026900.0,342300.0,5,707,41,0,none
MPLADS-2026-0192,22788000.0,20677000.0,10336137.18,9422958.37,53,172,83,0,none
MPLADS-2026-0038,21684000.0,21472000.0,14518482.05,12485549.05,64,258,195,0,none
MPLADS-2026-0187,864000.0,846000.0,743388.95,696739.13,94,333,302,0,none
MPLADS-2026-0057,24319000.0,21984000.0,5847145.49,3968279.13,19,456,108,0,none
MPLADS-2026-0326,3863000.0,3715000.0,1171395.32,988684.19,28,690,246,0,none
MPLADS-2026-0431,16604000.0,15600000.0,4284724.19,2995682.27,21,718,203,0,none
MPLADS-2026-0385,13539000.0,12742000.0,8550708.37,6994247.18,59,107,68,0,none
MPLADS-2026-0031,7323000.0,6946000.0,1719651.9,1228221.89,18,642,136,0,none
MPLADS-2026-0166,17105000.0,16628000.0,10567862.69,10567862.69,72,230,161,0,none
MPLADS-2026-0296,4373000.0,4117000.0,1417657.31,1184096.96,33,565,209,0,none
MPLADS-2026-0175,22924000.0,21139000.0,17719329.06,14951816.27,79,154,119,0,none
MPLADS-2026-0397,19012000.0,17377000.0,13868524.26,10343487.05,66,170,129,0,none
MPLADS-2026-0500,19263000.0,19210000.0,11048001.27,13023550.76,0,272,176,1,zero_progress_high_release
MPLADS-2026-0378,14689000.0,13833000.0,2491261.31,2491261.31,22,246,51,0,none
MPLADS-2026-0001,16166000.0,14590000.0,4308957.49,4308957.49,37,371,126,0,none
MPLADS-2026-0245,11295000.0,11035000.0,5967464.29,5050416.07,46,481,258,0,none
MPLADS-2026-0337,17023000.0,15650000.0,15330908.36,13262156.99,87,715,655,0,none
MPLADS-2026-0011,7041000.0,6996000.0,6846647.58,6051627.54,93,163,156,0,none
MPLADS-2026-0388,10224000.0,9583000.0,4578058.63,4578058.63,58,505,236,0,none
MPLADS-2026-0428,8313000.0,7731000.0,1159650.0,512593.78,7,207,6,0,none
MPLADS-2026-0302,2706000.0,2542000.0,1009365.76,941056.15,41,558,247,0,none
MPLADS-2026-0423,11046000.0,9953000.0,3222205.09,2862722.63,31,354,114,0,none
MPLADS-2026-0020,13656000.0,12655000.0,1898250.0,632750.0,5,438,58,0,none
MPLADS-2026-0252,3871000.0,3595000.0,1046066.93,992615.29,30,573,143,0,none
MPLADS-2026-0413,8197000.0,8168000.0,3252144.92,2083922.67,27,416,150,0,none
MPLADS-2026-0159,6722000.0,6221000.0,4169650.84,3137686.18,53,99,60,0,none
MPLADS-2026-0278,6914000.0,6403000.0,3088479.5,2115227.96,37,546,220,0,none
MPLADS-2026-0253,15576000.0,15429000.0,3969219.07,3969219.07,43,109,33,0,none
MPLADS-2026-0097,6778000.0,6350000.0,6034112.25,5412744.38,89,710,622,0,none
MPLADS-2026-0073,11333000.0,10442000.0,3430740.06,2796058.39,30,574,174,0,none
MPLADS-2026-0289,4468000.0,4439000.0,2787014.17,2347635.11,57,320,178,0,none
MPLADS-2026-0181,22592000.0,21790000.0,13840869.9,13840869.9,71,152,102,0,none
MPLADS-2026-0015,22175000.0,21383000.0,4928277.81,3701711.68,18,236,68,0,none
MPLADS-2026-0311,7831000.0,7311000.0,6521357.06,6011879.18,88,611,546,0,none
MPLADS-2026-0465,11016000.0,10015000.0,1502250.0,500750.0,5,187,1,0,none
MPLADS-2026-0476,13277000.0,13047000.0,12174120.77,11302697.89,12,302,216,1,high_expenditure_low_progress
MPLADS-2026-0091,15001000.0,14495000.0,13501153.02,13495226.48,95,175,165,0,none
MPLADS-2026-0364,7241000.0,6920000.0,1931729.82,1771121.58,28,695,180,0,none
MPLADS-2026-0363,8356000.0,7773000.0,5625624.43,5033360.77,71,236,170,0,none
MPLADS-2026-0335,21351000.0,20215000.0,3537625.97,3537625.97,26,287,58,0,none
