project_id,state,constituency_type,project_category,estimated_cost,sanctioned_amount,expected_duration_days,elapsed_days,progress_pct,contractor_id,contractor_past_delays,monsoon_overlap_days,material_inflation_index,labor_shortage_index,terrain_difficulty,sanction_year,actual_final_cost,actual_delay_days
MPLADS-0043,Uttar Pradesh,LOK_SABHA,Education,44455447.02,44203814.89,238,185,100.0,CTR-091,6,42,1.0003,0.9522,PLAIN,2025,51017281.07,79.62
MPLADS-0044,Delhi,LOK_SABHA,Roads,30602395.99,28039553.44,527,316,54.63,CTR-133,1,43,1.0112,1.0,DESERT,2024,33640549.86,78.06
MPLADS-0045,Tamil Nadu,LOK_SABHA,Bridges,32131175.64,25723486.41,339,505,96.16,CTR-176,7,47,1.1072,1.0,DESERT,2024,35494940.32,113.8
MPLADS-0046,Tamil Nadu,LOK_SABHA,Other Public Assets,42377374.28,34328361.38,535,361,72.44,CTR-150,0,50,1.329,0.3663,PLAIN,2025,54145178.14,40.85
MPLADS-0047,Kerala,LOK_SABHA,Drinking Water,22282480.36,18526807.39,463,63,23.66,CTR-027,6,84,1.2613,1.0,HILLY,2024,31046103.73,122.17
MPLADS-0048,Karnataka,RAJYA_SABHA,Sports Infrastructure,35218859.51,36565298.24,352,322,92.02,CTR-062,11,77,0.9593,0.4001,PLAIN,2024,38356986.36,94.71
MPLADS-0049,Dadra and Nagar Haveli and Daman and Diu,LOK_SABHA,Community Halls,12588147.54,12942729.96,520,721,85.67,CTR-188,6,51,1.1326,0.4402,HILLY,2024,18946664.25,98.82
MPLADS-0050,Telangana,RAJYA_SABHA,Electrification,17138433.44,17127768.35,150,189,98.84,CTR-140,6,0,0.9963,0.3901,PLAIN,2023,17262113.08,22.41
MPLADS-0051,Karnataka,LOK_SABHA,Other Public Assets,13896291.54,14191063.35,190,189,78.5,CTR-143,4,0,1.0205,0.4235,PLAIN,2025,15139179.54,58.76
MPLADS-0052,Bihar,RAJYA_SABHA,Roads,23329839.85,21141366.29,184,14,15.4,CTR-153,14,74,1.0786,0.9488,DESERT,2024,29553153.15,148.96
MPLADS-0053,Kerala,LOK_SABHA,Sanitation,525677.84,477882.77,473,549,97.24,CTR-068,5,90,1.2792,0.5389,PLAIN,2023,713677.07,70.57
MPLADS-0054,Haryana,RAJYA_SABHA,Community Halls,11349866.22,9671162.38,382,431,100.0,CTR-152,4,38,1.3462,0.1372,PLAIN,2024,14939677.84,19.29
MPLADS-0055,Mizoram,LOK_SABHA,Sanitation,36868893.97,34715940.91,426,352,100.0,CTR-075,10,45,1.0541,0.6187,HILLY,2024,47614918.3,114.9
MPLADS-0056,Goa,LOK_SABHA,Healthcare,552839.52,471610.41,359,482,100.0,CTR-156,10,91,0.9738,0.2152,COASTAL,2023,563112.65,80.84
MPLADS-0057,Bihar,LOK_SABHA,Drinking Water,16359661.58,14563201.77,200,16,42.22,CTR-069,1,73,0.9899,0.1074,PLAIN,2025,14069105.98,62.02
MPLADS-0058,Tripura,RAJYA_SABHA,Community Halls,16534865.11,17149323.43,128,111,95.21,CTR-185,7,26,1.1475,0.9709,PLAIN,2024,23053307.12,63.11
MPLADS-0059,Puducherry,RAJYA_SABHA,Sanitation,20729134.18,18819561.18,451,428,88.72,CTR-161,15,48,1.1347,0.6588,PLAIN,2024,24887538.62,84.55
MPLADS-0060,Odisha,LOK_SABHA,Bridges,37899207.35,32758391.75,327,405,100.0,CTR-037,13,58,1.107,0.9239,PLAIN,2024,42523499.69,79.15
MPLADS-0061,Madhya Pradesh,RAJYA_SABHA,Bridges,770918.89,768345.89,512,254,49.26,CTR-198,1,53,1.1486,0.5365,PLAIN,2024,1008175.7,58.21
MPLADS-0062,Rajasthan,LOK_SABHA,Healthcare,28437437.68,29732366.95,418,381,100.0,CTR-187,2,33,1.0638,0.5038,DESERT,2024,39571663.03,42.07
MPLADS-0063,Tamil Nadu,LOK_SABHA,Sports Infrastructure,23355496.26,21733754.21,510,164,30.3,CTR-115,8,48,1.2736,0.9744,COASTAL,2023,35573628.82,117.58
MPLADS-0064,Maharashtra,LOK_SABHA,Roads,2499761.83,2440890.56,335,151,43.44,CTR-078,3,79,1.2839,0.3558,DESERT,2025,3909571.61,104.45
MPLADS-0065,Gujarat,LOK_SABHA,Other Public Assets,48236473.15,39726185.19,393,511,100.0,CTR-109,7,53,1.2683,0.5457,PLAIN,2024,59682437.1,93.24
MPLADS-0066,Delhi,LOK_SABHA,Healthcare,4333086.22,4311279.79,416,278,56.75,CTR-168,2,36,1.0375,0.5158,PLAIN,2023,4895671.12,42.3
MPLADS-0067,Goa,LOK_SABHA,Sanitation,31486483.06,26778208.89,318,382,100.0,CTR-131,9,82,1.1251,0.9457,COASTAL,2024,37859061.12,120.48
MPLADS-0068,Gujarat,LOK_SABHA,Sports Infrastructure,8859215.56,9161912.13,434,122,15.09,CTR-118,2,50,1.1445,0.4779,PLAIN,2025,11544607.68,45.59
MPLADS-0069,Sikkim,LOK_SABHA,Other Public Assets,3486375.52,3505736.71,414,403,91.41,CTR-181,15,52,1.215,0.8719,HILLY,2024,5753361.84,130.22
MPLADS-0070,Nagaland,LOK_SABHA,Drinking Water,10329891.34,9882671.57,141,158,97.14,CTR-147,0,35,1.0291,0.4913,HILLY,2023,12751669.8,78.63
MPLADS-0071,Andaman and Nicobar Islands,LOK_SABHA,Drinking Water,6800171.82,6375568.57,464,491,94.7,CTR-085,10,53,1.2782,0.2408,COASTAL,2024,10342759.07,73.4
MPLADS-0072,Gujarat,LOK_SABHA,Healthcare,15496749.13,13828031.45,496,175,38.44,CTR-012,15,53,1.1954,0.8898,PLAIN,2024,20044294.72,86.41
MPLADS-0073,Mizoram,LOK_SABHA,Drinking Water,41912345.53,34668394.94,411,138,44.81,CTR-014,12,53,1.1107,0.4681,HILLY,2024,52011581.87,121.5
MPLADS-0074,Himachal Pradesh,LOK_SABHA,Sanitation,41788984.15,40549203.96,392,113,40.4,CTR-046,15,60,1.2758,0.4353,DESERT,2024,66600463.45,117.12
MPLADS-0075,West Bengal,RAJYA_SABHA,Bridges,11047209.25,8849659.1,347,297,52.38,CTR-177,11,67,1.1081,0.7471,PLAIN,2025,10855669.36,83.45
MPLADS-0076,Odisha,RAJYA_SABHA,Sports Infrastructure,20466042.96,21097149.05,122,45,20.87,CTR-018,2,0,0.9891,0.6682,DESERT,2024,23723288.43,48.01
MPLADS-0077,Punjab,LOK_SABHA,Electrification,7184385.75,7442661.49,321,193,100.0,CTR-081,15,42,1.2632,0.2109,PLAIN,2024,11201135.21,112.12
MPLADS-0078,Punjab,LOK_SABHA,Healthcare,39151498.55,40507231.34,137,150,100.0,CTR-012,15,0,1.161,0.9448,HILLY,2023,64290959.56,86.45
MPLADS-0079,Tripura,LOK_SABHA,Community Halls,45701110.64,39379790.76,439,485,94.22,CTR-051,12,52,1.3171,0.9842,PLAIN,2025,62891366.94,125.8
MPLADS-0080,Tamil Nadu,LOK_SABHA,Electrification,49008937.72,50032364.86,441,199,41.71,CTR-042,12,50,1.0381,0.7119,COASTAL,2024,62686241.34,87.22
MPLADS-0081,Dadra and Nagar Haveli and Daman and Diu,RAJYA_SABHA,Healthcare,13251824.5,13472496.64,190,213,100.0,CTR-060,10,48,0.9609,0.9585,PLAIN,2025,14383081.99,100.56
MPLADS-0082,Assam,LOK_SABHA,Sports Infrastructure,17803398.77,16818022.02,147,31,5.9,CTR-034,8,0,1.3188,0.3322,COASTAL,2025,27630333.13,55.02
MPLADS-0083,Bihar,LOK_SABHA,Roads,38833651.63,37192075.58,274,363,99.54,CTR-088,4,52,1.1371,0.1697,COASTAL,2024,48728164.15,36.07
MPLADS-0084,Lakshadweep,RAJYA_SABHA,Sports Infrastructure,15729440.59,13435389.62,294,304,90.72,CTR-023,2,49,1.1941,0.6235,COASTAL,2025,19453067.27,68.7
MPLADS-0085,Arunachal Pradesh,LOK_SABHA,Drinking Water,37273862.34,32028144.68,471,586,93.23,CTR-008,11,51,1.1467,0.7287,HILLY,2024,47883268.39,103.35
MPLADS-0086,Madhya Pradesh,LOK_SABHA,Drinking Water,9453779.3,8075692.73,154,22,14.17,CTR-130,10,55,1.0117,1.0,DESERT,2024,10262424.85,116.77
MPLADS-0087,Goa,RAJYA_SABHA,Education,42561644.47,44677262.64,453,152,37.66,CTR-070,7,91,1.1607,0.639,COASTAL,2025,61263939.17,124.83
MPLADS-0088,Ladakh,RAJYA_SABHA,Drinking Water,40023193.07,34711419.95,107,51,53.88,CTR-017,8,10,1.2497,0.5335,DESERT,2025,54238984.1,46.75
MPLADS-0089,Bihar,LOK_SABHA,Bridges,9261569.85,8927858.96,492,203,51.34,CTR-003,10,67,1.1926,0.4447,PLAIN,2024,12160427.1,85.49
MPLADS-0090,Sikkim,LOK_SABHA,Other Public Assets,33169319.09,32545875.39,178,160,73.92,CTR-175,11,46,0.9684,0.5522,HILLY,2023,40091657.74,107.71
MPLADS-0091,Odisha,RAJYA_SABHA,Electrification,30368594.9,26159249.8,170,10,0.0,CTR-116,9,76,1.0305,0.9296,PLAIN,2024,30974488.67,116.24
MPLADS-0092,Haryana,RAJYA_SABHA,Other Public Assets,42564565.29,40583485.45,513,473,82.96,CTR-128,12,38,1.2896,0.4725,PLAIN,2023,62576953.98,105.78
MPLADS-0093,Maharashtra,LOK_SABHA,Education,11154565.53,11320660.18,386,219,39.31,CTR-158,8,83,1.3449,0.3506,DESERT,2025,18976253.78,107.99
MPLADS-0094,Goa,LOK_SABHA,Education,42215232.46,38483295.01,451,645,95.7,CTR-038,13,82,1.225,0.0474,COASTAL,2024,58420020.59,84.89
MPLADS-0095,Meghalaya,LOK_SABHA,Roads,5879015.05,4723461.36,293,109,44.53,CTR-065,6,98,0.9587,0.7151,HILLY,2025,5723385.04,121.02
MPLADS-0096,Puducherry,RAJYA_SABHA,Sports Infrastructure,31801575.01,32828468.8,533,784,93.22,CTR-074,2,49,0.9565,0.4525,PLAIN,2025,33856079.7,55.35
MPLADS-0097,Uttarakhand,LOK_SABHA,Other Public Assets,21470928.47,22169300.04,419,316,63.57,CTR-195,15,65,1.2922,0.5899,HILLY,2023,38699481.33,134.35
MPLADS-0098,Rajasthan,RAJYA_SABHA,Education,13542033.7,12036219.93,270,141,80.97,CTR-093,13,35,1.31,0.3427,PLAIN,2025,19149298.63,58.42
MPLADS-0099,Karnataka,RAJYA_SABHA,Electrification,35822537.19,37549254.75,310,159,55.38,CTR-023,2,54,0.9556,1.0,HILLY,2025,45577086.82,70.78
MPLADS-0100,Jharkhand,LOK_SABHA,Sanitation,16732232.23,13761136.93,362,13,0.0,CTR-059,11,70,1.0758,0.7739,PLAIN,2024,17304866.6,134.21
MPLADS-0101,West Bengal,RAJYA_SABHA,Healthcare,38619490.55,31796111.15,214,211,100.0,CTR-134,8,0,1.2697,0.6024,PLAIN,2025,46463910.29,47.68
MPLADS-0102,Mizoram,LOK_SABHA,Education,13881878.04,14207210.71,503,321,72.14,CTR-149,13,46,1.0908,0.7658,HILLY,2025,20868827.67,133.83
MPLADS-0103,Rajasthan,LOK_SABHA,Electrification,41002253.96,38789794.36,232,91,34.24,CTR-189,3,34,1.2764,0.2675,DESERT,2023,61480419.43,52.31
MPLADS-0104,Jharkhand,LOK_SABHA,Sanitation,22411472.75,18804857.88,411,64,35.09,CTR-052,3,66,1.329,0.3147,PLAIN,2025,28732856.91,51.7
MPLADS-0105,Nagaland,LOK_SABHA,Bridges,17281284.95,16656823.09,291,41,0.0,CTR-178,2,25,1.0781,0.3683,PLAIN,2025,19663939.34,33.26
MPLADS-0106,Gujarat,LOK_SABHA,Sanitation,17596477.96,16425897.04,539,624,100.0,CTR-058,2,54,0.9735,0.4291,COASTAL,2024,18470443.61,67.53
MPLADS-0107,Uttar Pradesh,LOK_SABHA,Bridges,31632926.85,30149653.61,291,329,88.09,CTR-105,12,40,1.2941,0.8484,HILLY,2025,53534683.77,107.03
MPLADS-0108,Nagaland,RAJYA_SABHA,Electrification,48617473.77,47501514.19,354,324,100.0,CTR-122,10,43,1.2418,1.0,HILLY,2024,79947967.65,115.54
MPLADS-0109,Rajasthan,LOK_SABHA,Drinking Water,4397792.85,3941173.84,91,24,33.54,CTR-030,7,16,1.1485,1.0,DESERT,2025,5813484.79,36.1
MPLADS-0110,Kerala,LOK_SABHA,Education,29231695.71,26138509.32,230,286,100.0,CTR-148,3,93,0.9777,0.1703,COASTAL,2024,29726122.12,107.79
MPLADS-0111,Uttar Pradesh,LOK_SABHA,Electrification,42754693.57,36712423.8,302,248,87.66,CTR-058,2,47,1.0101,0.8307,PLAIN,2023,40898054.8,64.14
MPLADS-0112,Chandigarh,LOK_SABHA,Drinking Water,16681468.42,14619141.03,435,163,1.72,CTR-009,3,51,1.2891,0.2375,PLAIN,2024,21793124.37,66.89
MPLADS-0113,Madhya Pradesh,LOK_SABHA,Bridges,18280617.66,14674467.5,228,204,74.93,CTR-195,15,52,1.2669,0.7531,PLAIN,2025,22850127.72,119.83
MPLADS-0114,Punjab,RAJYA_SABHA,Other Public Assets,27103159.88,24983119.68,247,39,32.58,CTR-196,1,31,1.0292,0.9653,DESERT,2024,32555540.94,59.57
MPLADS-0115,Jharkhand,RAJYA_SABHA,Bridges,16461934.27,16039165.71,175,251,75.87,CTR-039,4,34,1.3491,0.3604,HILLY,2024,27472443.52,77.13
MPLADS-0116,Dadra and Nagar Haveli and Daman and Diu,LOK_SABHA,Community Halls,32256586.57,32177905.94,450,422,100.0,CTR-006,13,47,1.2216,0.2904,HILLY,2025,53480770.75,105.74
MPLADS-0117,Karnataka,LOK_SABHA,Healthcare,26227806.15,23396726.84,239,18,9.05,CTR-076,7,76,0.9923,0.3383,COASTAL,2025,26269027.37,78.76
MPLADS-0118,Jammu and Kashmir,LOK_SABHA,Other Public Assets,44241480.94,41168262.47,537,445,93.96,CTR-150,0,39,1.2817,0.2772,PLAIN,2025,59458138.52,47.33
MPLADS-0119,Tripura,LOK_SABHA,Drinking Water,41913716.95,35059067.0,99,33,22.79,CTR-199,5,11,1.1753,0.3681,PLAIN,2023,46320778.69,38.53
MPLADS-0120,Jharkhand,LOK_SABHA,Sports Infrastructure,1315868.93,1367876.21,500,439,91.06,CTR-029,8,61,1.0859,0.4498,HILLY,2025,1928719.57,97.4
MPLADS-0121,Punjab,LOK_SABHA,Community Halls,14618443.73,14226565.54,537,20,7.46,CTR-052,3,44,1.1566,0.8039,HILLY,2025,21314901.51,77.49
MPLADS-0122,Telangana,RAJYA_SABHA,Community Halls,31185841.02,30380661.16,451,581,96.79,CTR-058,2,43,1.0837,0.166,COASTAL,2024,38773095.86,58.21
MPLADS-0123,Uttarakhand,LOK_SABHA,Other Public Assets,47557909.65,42935318.61,467,467,100.0,CTR-142,3,59,1.2164,0.5512,HILLY,2025,67759756.16,83.69
MPLADS-0124,Karnataka,RAJYA_SABHA,Sanitation,43935110.57,45688080.43,248,85,51.28,CTR-181,15,55,1.0654,0.2413,COASTAL,2025,59766178.74,112.52
MPLADS-0125,Himachal Pradesh,LOK_SABHA,Drinking Water,35972826.46,35612963.4,537,463,93.12,CTR-053,5,65,1.2885,1.0,DESERT,2023,60235786.16,115.27
MPLADS-0126,Manipur,LOK_SABHA,Community Halls,20129359.78,18086652.93,345,127,23.35,CTR-113,8,49,1.1957,0.6473,HILLY,2025,28365015.36,103.33
MPLADS-0127,Uttar Pradesh,LOK_SABHA,Bridges,8097864.17,7657912.19,389,166,62.97,CTR-073,7,61,1.1025,0.8757,COASTAL,2025,10654835.25,109.01
MPLADS-0128,Ladakh,RAJYA_SABHA,Electrification,40708698.85,39788258.93,99,69,67.35,CTR-063,5,3,1.2071,1.0,HILLY,2024,62263080.97,84.29
MPLADS-0129,Odisha,LOK_SABHA,Other Public Assets,40468645.13,35969356.74,391,240,56.17,CTR-051,12,76,0.9511,0.4988,HILLY,2024,44963744.99,114.76
MPLADS-0130,Jharkhand,LOK_SABHA,Bridges,9161402.96,9080810.1,478,258,43.62,CTR-036,1,57,1.2396,0.8374,PLAIN,2025,12872384.86,95.36
MPLADS-0131,Rajasthan,RAJYA_SABHA,Community Halls,16130341.65,13196454.19,356,505,100.0,CTR-018,2,35,1.305,0.2489,DESERT,2023,21320464.58,49.11
MPLADS-0132,Nagaland,LOK_SABHA,Sanitation,11223355.19,10920002.19,197,203,94.44,CTR-116,9,12,1.2843,0.2751,HILLY,2024,17931087.33,85.29
MPLADS-0133,Punjab,RAJYA_SABHA,Sports Infrastructure,3534551.26,3354163.62,364,65,0.0,CTR-128,12,41,1.2993,0.8935,DESERT,2024,5784152.12,95.33
MPLADS-0134,Bihar,LOK_SABHA,Other Public Assets,47815096.44,49975830.38,508,563,100.0,CTR-050,12,71,1.1351,1.0,HILLY,2023,78026295.12,145.44
MPLADS-0135,Gujarat,LOK_SABHA,Bridges,10866650.43,10290234.2,489,170,40.54,CTR-016,12,50,1.0783,0.958,HILLY,2023,14669460.97,139.99
MPLADS-0136,Tripura,LOK_SABHA,Community Halls,6630915.62,5985133.19,383,320,70.72,CTR-045,1,46,0.9974,0.2168,PLAIN,2024,6112627.48,23.07
MPLADS-0137,Kerala,LOK_SABHA,Community Halls,1699353.03,1759411.1,269,43,16.12,CTR-039,4,98,0.9854,0.9745,COASTAL,2023,2136872.11,112.53
MPLADS-0138,Meghalaya,LOK_SABHA,Other Public Assets,3351251.99,3454189.35,267,227,69.34,CTR-175,11,93,1.0476,1.0,HILLY,2025,4910729.17,159.35
MPLADS-0139,Sikkim,LOK_SABHA,Roads,18576642.8,18099605.28,321,286,96.75,CTR-183,7,39,1.0786,0.2859,HILLY,2024,23722609.34,71.5
MPLADS-0140,Telangana,LOK_SABHA,Education,47905823.7,48807584.76,509,117,30.66,CTR-038,13,49,0.9547,0.2479,PLAIN,2025,49416430.02,103.28
MPLADS-0141,Ladakh,LOK_SABHA,Community Halls,9574249.01,8782299.3,180,176,98.4,CTR-053,5,3,1.2778,0.8539,HILLY,2024,14722466.73,96.8
MPLADS-0142,Uttar Pradesh,LOK_SABHA,Sports Infrastructure,27669935.66,23245084.92,182,167,82.09,CTR-186,7,0,1.0738,0.549,PLAIN,2023,27846381.13,57.09
MPLADS-0143,Tamil Nadu,LOK_SABHA,Electrification,4681804.34,4651861.66,386,342,100.0,CTR-067,14,51,1.2293,0.2786,PLAIN,2025,6853511.04,76.06
MPLADS-0144,Madhya Pradesh,LOK_SABHA,Bridges,7493818.72,6495143.07,473,610,80.96,CTR-129,9,50,1.3441,0.7061,PLAIN,2024,11000490.16,69.05
MPLADS-0145,Tripura,LOK_SABHA,Bridges,23318550.82,22400533.8,396,546,100.0,CTR-042,12,50,1.1482,0.8173,HILLY,2025,34698979.94,121.49
MPLADS-0146,Goa,LOK_SABHA,Electrification,9506176.29,9343684.88,119,80,62.22,CTR-107,12,0,1.2763,0.7236,COASTAL,2024,14631350.24,73.34
MPLADS-0147,Himachal Pradesh,LOK_SABHA,Education,38167172.49,33551572.21,509,156,21.18,CTR-150,0,68,1.3358,0.6655,HILLY,2025,59367714.39,73.76
MPLADS-0148,Haryana,RAJYA_SABHA,Sanitation,33962938.52,29984811.34,410,398,100.0,CTR-005,6,38,1.1305,0.8324,HILLY,2024,43690296.79,90.68
MPLADS-0149,Andaman and Nicobar Islands,LOK_SABHA,Healthcare,27316059.3,22732953.14,371,383,82.93,CTR-025,12,47,1.2544,1.0,HILLY,2023,39119506.6,143.74
MPLADS-0150,Assam,RAJYA_SABHA,Roads,35729997.44,36251963.44,223,61,27.22,CTR-034,8,40,1.0245,0.5317,HILLY,2025,47783967.07,82.77
MPLADS-0151,Ladakh,RAJYA_SABHA,Sanitation,5261454.5,4457188.67,333,38,0.0,CTR-060,10,16,0.9661,1.0,HILLY,2025,5774235.67,107.39
MPLADS-0152,Chandigarh,LOK_SABHA,Sanitation,43271686.3,36167544.65,349,151,33.27,CTR-122,10,50,1.172,0.0941,PLAIN,2025,48385426.6,96.13
